canonical_smiles,is_coumarin,Factor_XIIa_pIC50,Factor_Xa_pIC50,Thrombin_pIC50,VKORC1_pIC50
C=CC[C@H]1C(=O)O[C@H]2CCN(C(=O)OCC)C21,False,,,3.6989700043360187,
C=CC[C@H]1C(=O)O[C@H]2CCN(C(=O)OCc3ccccc3)C21,False,,,4.30989256054367,
C=CCc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,8.721246399047171,7.717377887121938,
C=CCc1cccc(/C=N/NC(=O)CNc2ccccc2)c1O,False,,,4.301029995663981,
C=CCn1c(COc2ccc(CC)cc2)nnc1SCC(=O)N(C)C1CCS(=O)(=O)C1,False,4.301029995663981,,,
C=CCn1c(O)c(N=NC(S)=Nc2ccccc2F)c2cc(S(=O)(=O)N3CCOCC3)ccc21,False,4.301029995663981,,,
C=CCn1c(SCC(=O)Nc2cccnc2Cl)nnc1-c1ccc(Cl)cc1,False,4.301029995663981,,,
C=CCn1c(SCc2c(C)noc2C)nc2cc(C(=O)O)ccc2c1=O,False,,,4.301029995663981,
C=CCn1cc(C(=O)NCc2ccc3c(c2)OCO3)c(=O)c2cc(S(=O)(=O)N(CC)CC)ccc21,False,,,4.717758429608733,
C=Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,8.782516055786093,8.0268721464003,
CC#Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,8.282329496997738,7.301029995663981,
CC(/N=c1\ccccn1C(=O)Nc1cccc(C(F)(F)F)c1)c1ccco1,False,4.301029995663981,,,
CC(=N)/C(C#N)=C(/O)CSc1nc2cc(Cl)ccc2s1,False,,,4.301029995663981,
CC(=N)N(C)CCN(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,False,,8.958607314841775,4.958607314841775,
CC(=N)N(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,False,,9.045757490560675,4.958607314841775,
CC(=N)N(C)c1ccc(C(=O)Nc2ccc(C)cc2C(=O)Nc2ccc(Cl)cn2)cc1,False,,9.301029995663981,,
CC(=N)N1CCC(COc2ccc3c(c2)CN(C(=N)N)CC3)CC1.Cl.Cl,False,,6.292429823902063,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3cc(-c4cccc(C(=N)N)c4)no3)S(C)(=O)=O)cc2)CC1,False,,7.853871964321762,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3cc(C)n(-c4cccc(C(=N)N)c4)n3)S(C)(=O)=O)cc2)CC1,False,,6.029653123769907,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3cc(C)nn3-c3cccc(C(=N)N)c3)S(C)(=O)=O)cc2)CC1,False,,5.1598939055432425,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3cc4cc(C(=N)N)ccc4n3C)S(C)(=O)=O)cc2)CC1,False,,7.508638306165727,5.0,
